vuid,cuid,narrations_in_context,gt_belief,belief_choice_a,belief_choice_b,belief_choice_c,belief_choice_d,clip_start_time,clip_end_time
a65500f7-956f-486d-872a-61742acb90d8,a65500f7-956f-486d-872a-61742acb90d8~pass_2~241-302,"    00m:04s | #C C plugs the fuse in the socket
    00m:08s | #C C holds the vacuum cleaner handle
    00m:13s | #C C fixes the handle with the pipe
    00m:20s | #C C puts the vacuum cleaner on
    00m:21s | #C C picks the vacuum cleaner from the floor
    00m:22s | #C C holds the vacuum cleaner
    00m:26s | #C C puts the vacuum cleaner on the floor
    00m:30s | #C C looks at the bicycle
    00m:36s | #C C cleans the floor
    00m:39s | #C C holds the handle
    00m:42s | #C C cleans the floor
    00m:45s | #C C holds the dustpan on the right hand
    00m:51s | #C C cleans the floor with the vacuum cleaner
    00m:54s | #C C holds the dustpan handle
    01m:01s | #C C cleans on the metal parts
    01m:06s | #C C cleans the floor
    01m:15s | #C C holds the vacuum cleaner
    01m:21s | #C C cleans the floor
    01m:24s | #C C cleans the window
    01m:30s | #C C holds the vacuum cleaner with the right hand
    01m:38s | #C C puts the power off for the vacuum cleaner
    01m:45s | #C C cleans the floor
    01m:49s | #C C looks at the bicycle
    01m:55s | #C C cleans the floor
    02m:04s | #C C holds the vacuum cleaner
    02m:11s | #C C holds the vacuum cleaner
    02m:15s | #C C picks the vacuum cleaner
    02m:18s | #C C puts the vacuum cleaner on the floor
    02m:25s | #C C cleans the stairs
    02m:30s | #C C walks on the stairs
    02m:34s | #C C holds the vacuum handle
    02m:41s | #C C picks the vacuum cleaner
    02m:43s | #C C holds the vacuum cleaner
    02m:45s | #C C puts the vacuum cleaner on the stairs
    02m:49s | #C C picks the vacuum cleaner
    02m:51s | #C C puts the vacuum cleaner on the stairs
    02m:53s | #C C walks on the stairs
    02m:58s | #C C cleans on the stairs
    03m:04s | #C C stands on the stair
    03m:08s | #C C cleans the stairs
    03m:22s | #C C holds the vacuum cleaner
    03m:24s | #C C holds the vacuum handle with both hands
    03m:29s | #C C cleans the floor
    03m:33s | #C C walks along the stairs
    03m:36s | #C C holds the vacuum handle
    03m:40s | #C C looks at the vacuum cleaner machine
    03m:49s | #C C puts the handler on the staircase",C believes that the cleaning task is complete.,C believes that the stairs need further cleaning.,C believes that the cleaning task is complete.,C believes that the bicycle area has not been adequately cleaned.,C believes that the window areas are still dusty.,1892.8237409546632,2124.531180954663
ec344610-74f4-4765-9c3f-0837ef78055d,ec344610-74f4-4765-9c3f-0837ef78055d~pass_2~111-194,"    00m:11s | #C C puts carrot grating machine aside
    00m:15s | #C C looks around the kitchen
    00m:16s | #C C places carrots in a cooking pot
    00m:21s | #C C turns around
    00m:24s | #C C picks carrot pieces on the chopping board
    00m:27s | #C C moves around the kitchen
    00m:28s | #C C places carrots in a cooking pot
    00m:31s | #C C stirs food with a cooking stick
    00m:55s | #C C hits on the pot with cooking stick
    00m:56s | #C C places a cooking stick on the chopping board
    00m:58s | #C C turns around the kitchen
    01m:06s | #C C places a chopping board in the sink
    01m:09s | #C C opens a tap
    01m:10s | #C C washes a knife
    01m:11s | #C C touches a grater on the counter
    01m:14s | #CC places a knife on kitchen counter
    01m:14s | #C C tilts a tap
    01m:18s | #C C turn around the kitchen
    01m:21s | #C C opens a fridge door
    01m:24s | #C C picks ingredient can
    01m:26s | #CC closes fridge door
    01m:27s | #C C walks around the kitchen
    01m:31s | #C C picks a spoon from tray
    01m:37s | #C C stares around the sink
    01m:40s | #C C places a can in the pot
    01m:43s | #C C opens a kitchen drawer
    01m:44s | #C C bends towards the drawer
    01m:45s | #C C walks towards the counter
    01m:52s | #C C stands near the cooker
    01m:54s | #C C places a can on the counter
    01m:55s | #C C picks a spoon from the counter
    01m:56s | #C C puts tomato pate on the spoon
    02m:01s | #C C adds tomato paste in food
    02m:14s | #C C scoops tomato paste with a spoon from the can
    02m:14s | #C C turns the can
    02m:16s | #C C puts tomato paste in food
    02m:20s | #C C picks a cooking stick from the pan
    02m:21s | #C C stirs food with a cooking stick
    02m:36s | #C C hits the pot with a cooking stick
    02m:38s | #C C moves around the kitchen
    02m:39s | #C C places cooking stick on the chopping board
    02m:42s | #C C picks ingredients from the drawer
    02m:49s | #C C adds ingredients in food
    02m:54s | #C C places ingredients in the drawer
    02m:55s | #C C moves around the kitchen
